Neutralized SMILES,ATC Codes,predicted_atc4
COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,N06AX,A07AA07
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,M01AA; M02AA; S01BC,A14AA01
CCOc1ccccc1OCC1CNCCO1,N06AX,M01AA08
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,C10AA,A07BC05
Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,A03AE,A07AA07
COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,N07XX,A07BA08
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,R01BA; R06AB,J (Neuropathic Pain Analgesics)
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,C09CA,A07BA07
C/C(=C\\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,L01DC,J05BA02
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,N06AX,J/01AA
CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1,L02AA,"J/HD/M
"
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,C09AA; C09BA; C09BB; C10BX,A07AA07
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,L02BX,A07AA07
CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,A02BX,A07AA07
C[n+]1ccc(C(=O)NCc2ccccc2)cc1,J05AX,A07BA08
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,L01XX,M01AA02
O=C(O)[C@H](O)[C@@H](O)C(=O)O,A06AD; A12BA,A07AA07
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\\C=C\\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,A07AA; D06AX; J04AB; S01AA; S02AA,J05BA07
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)(Cl)Cl)NS2(=O)=O,C03AX,A07BC01
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,J05AG,A07BC01
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,A07EA,A09AA09
N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,A07DA,J/A01/005
FC(F)OC(F)C(F)(F)F,N01AB,D06AA06
N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1ccc(O)cc1,C07AB,M01AA02
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,D06BB; J05AB; S01AD,"J15AA
"
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,G01AE; J01ED; S01AB,E17AA02
CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,S01GX,A01AA01
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,L02BA,J05AA02
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,N07BB,J/01AA
Cc1ncc(CO)c(CO)c1O,A11HA; J04AC; J04AM; N05AL,A07AA07
CCCC[C@H](CC)COC(=O)/C=C/c1ccc(OC)cc1,D02BA,A01AA04
O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(Cl)cc1)c1ccc(Cl)s1,B01AA,M01AA02
O=[Al]O,A02AB,A07AA01
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,A10BB; G01AE,J05AA06
CCCN[C@H](C)C(=O)Nc1ccccc1C,N01BB,J01AA02
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,N04BX,A07BA08
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,R01AB,M05AA02
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,A07EC,A07AA07
Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,C07AA,M05AA03
C/N=C(\\NC)NCc1ccccc1,C02CC,A02AA02
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,J01XX,J16AA
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,N06CA,J/01AA
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,N02AA,J/01/043
CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,J05AX,M01AA02
CCC(=O)OC1CC(=O)OC(C)CC=CC=CC(OC(C)=O)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(OC(C)=O)C(OC(=O)CC)C(C)O3)C(N(C)C)C2O)C1OC,J01FA,A09AA09
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,C09CA; C09DA; C09DB; C09DX; C10BX,A07BA07
COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,A02BX,A07AA07
O=C1c2ccc(Br)cc2C(=O)C1c1ccccc1,M04AB,M01AA03
CN(C)/N=N/c1[nH]cnc1C(N)=O,L01AX,A07BC01
COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,N05AD,J01AA02
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,N01AH,A07BA08
COc1ccc(C2=CC(O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1OCCO,C05CA,J/01/007
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,M01AH,E17AA
CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,C04AE,A07BA08
CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O,L01AB,A07BA07
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,N05AC,M01AA03
Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,G04BD,A07AA07
C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,N06BX,J себе.J13
CCCCNC(=N)NC(=N)N,A10BA,A07AA07
Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,A04AA,M01AA02
COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,M03AC,A07BA07
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,N06BX,"J16AA
"
Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1,A10BB,A07BA07
CN(C)C(=O)O,P03BX,A01AA07
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,L03AX,A01AA07
C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,J05AJ,E1ALJ
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,S01FA,A07AA07
CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,R05DB,M01AA06
CO/N=C(\\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,J01DC; J01RA; S01AA,A07AA07
O=C(OOC(=O)c1ccccc1)c1ccccc1,D10AE,A09AA09
CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C,M03BA,A07AA07
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,M01AB,M01AA02
COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,A02BC; A02BD,J01AA03
COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,A03FA,M01AA03
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,G03BA; G03EA,A01AA08
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,D11AX; R01AA; R01AB; S01GA,A01AA02
CC(/C=N/NC(=N)N)=N\\NC(=N)N,L01XX,A07AA07
CCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,D10AX,A07AA07
CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,P01CA,A07BC02
COc1ccc(C2(c3ccc(OC)cc3)NC(=O)N(CCN3CCCCC3)C2=O)cc1,A03AX,A07BA08
OC[C@@H](O)CN1CCN(c2ccccc2)CC1,R05DB,J01AA03
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,J05AF; J05AR,J04AA03
C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,L02BB,"J Edg
"
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,J01MA,A07BA08
CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,R01AC; S01GX,A07AA07
C[C@@H]1C[C@@H](OC(=O)c2cccnc2)CC(C)(C)C1,C04AC,"J

"
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,R06AB,J/N03
